vial,cage,cagediet,assaydiet,lifespan
29,4b,4,1,38.5
29,4b,4,1,38.5
29,4b,4,1,38.5
29,4b,4,1,38.5
29,4b,4,1,41
29,4b,4,1,41
29,4b,4,1,45.5
29,4b,4,1,45.5
29,4b,4,1,45.5
29,4b,4,1,45.5
29,4b,4,1,45.5
29,4b,4,1,48
29,4b,4,1,48
29,4b,4,1,50
29,4b,4,1,50
29,4b,4,1,50
29,4b,4,1,50
29,4b,4,1,52.5
29,4b,4,1,52.5
29,4b,4,1,52.5
29,4b,4,1,52.5
29,4b,4,1,52.5
29,4b,4,1,52.5
29,4b,4,1,52.5
29,4b,4,1,57
29,4b,4,1,57
29,4b,4,1,57
29,4b,4,1,57
29,4b,4,1,57
29,4b,4,1,57
29,4b,4,1,57
29,4b,4,1,62
30,4b,4,1,8
30,4b,4,1,8
30,4b,4,1,31.5
30,4b,4,1,36
30,4b,4,1,36
30,4b,4,1,38.5
30,4b,4,1,38.5
30,4b,4,1,38.5
30,4b,4,1,41
30,4b,4,1,43
30,4b,4,1,45.5
30,4b,4,1,45.5
30,4b,4,1,45.5
30,4b,4,1,45.5
30,4b,4,1,45.5
30,4b,4,1,45.5
30,4b,4,1,45.5
30,4b,4,1,45.5
30,4b,4,1,45.5
30,4b,4,1,45.5
30,4b,4,1,45.5
30,4b,4,1,45.5
30,4b,4,1,45.5
30,4b,4,1,45.5
30,4b,4,1,45.5
30,4b,4,1,45.5
30,4b,4,1,48
30,4b,4,1,48
30,4b,4,1,48
30,4b,4,1,50
30,4b,4,1,52.5
30,4b,4,1,52.5
30,4b,4,1,52.5
30,4b,4,1,57
30,4b,4,1,57
30,4b,4,1,59.5
30,4b,4,1,59.5
30,4b,4,1,59.5
30,4b,4,1,59.5
30,4b,4,1,62
31,4c,4,1,10.5
31,4c,4,1,31.5
31,4c,4,1,34
31,4c,4,1,38.5
