FID,Shelf_stack,Sex,Diet,Level,Size,Batch,P_day,P2_day,L_day,L2_day,ZP,ZP2,ZL,ZL2,Ln,Wt,CI
LR431,I3,F,3,100,L,6,0.080367,0.006458855,0.03192875,0.001019445,2.222566479,2.58243271,2.76822004,3.557017207,NA,NA,NA
LR432,I3,F,3,50,S,6,0.03612,0.001304654,0.01435,0.000205923,-0.027202675,-0.232431185,0.53164798,0.169530275,NA,NA,NA
LR433,I1,F,3,75,L,6,0.0600495,0.003605942,0.023856875,0.00056915,1.189509214,1.024371276,1.741222666,1.681999164,NA,NA,NA
LR434,I1,F,3,75,L,6,0.0600495,0.003605942,0.023856875,0.00056915,1.189509214,1.024371276,1.741222666,1.681999164,NA,NA,NA
LR435,I1,F,1,50,L,6,0.0300375,0.000902251,0.002937,8.63E-06,-0.336471572,-0.452195544,-0.920445993,-0.652010028,NA,NA,NA
LR436,I1,F,4,100,S,6,0.056108,0.003148108,0.006591,4.34E-05,0.989100935,0.774334385,-0.455541815,-0.507039793,NA,NA,NA
LR437,I1,F,3,50,L,6,0.0401835,0.001614714,0.015964375,0.000254861,0.179408778,-0.063098111,0.737047455,0.373306984,NA,NA,NA
LR438,I1,M,1,50,L,6,0.03375,0.001139063,0.0033,1.09E-05,-0.264476102,-0.375275395,-0.943212059,-0.757865326,NA,NA,NA
LR439,I1,M,3,75,L,6,0.05418,0.002935472,0.021525,0.000463326,0.616556735,0.306305014,1.34945015,1.272591319,NA,NA,NA
LR440,I1,M,2,75,S,6,0.07931375,0.006290671,0.0173875,0.000302325,1.700436278,1.579310164,0.828962365,0.55004592,NA,NA,NA
LR441,I2,M,1,75,L,6,0.050625,0.002562891,0.00495,2.45E-05,0.463249259,0.164943047,-0.735645933,-0.696774716,NA,NA,NA
LR442,I2,M,2,100,S,6,0.1058505,0.011204328,0.023205,0.000538472,2.844819446,3.443614088,1.560790206,1.609833923,NA,NA,NA
LR443,I2,F,3,50,L,6,0.0401835,0.001614714,0.015964375,0.000254861,0.179408778,-0.063098111,0.737047455,0.373306984,NA,NA,NA
LR444,I2,F,1,50,S,6,0.02025,0.000410063,0.00198,3.92E-06,-0.834123742,-0.720994186,-1.042206611,-0.671603914,NA,NA,NA
LR445,I2,M,4,100,L,6,0.05976,0.003571258,0.00702,4.93E-05,0.857191254,0.547530304,-0.475244793,-0.58557567,NA,NA,NA
LR446,I2,F,4,50,L,6,0.034694,0.001203674,0.0040755,1.66E-05,-0.099708626,-0.287579395,-0.775592844,-0.61876596,NA,NA,NA
LR447,I2,F,4,75,L,6,0.052013333,0.002705387,0.00611,3.73E-05,0.780904775,0.532551156,-0.516740203,-0.532478362,NA,NA,NA
LR448,I2,F,3,50,L,6,0.0401835,0.001614714,0.015964375,0.000254861,0.179408778,-0.063098111,0.737047455,0.373306984,NA,NA,NA
LR449,I3,F,1,50,L,6,0.0300375,0.000902251,0.002937,8.63E-06,-0.336471572,-0.452195544,-0.920445993,-0.652010028,NA,NA,NA
LR450,I3,F,4,50,S,6,0.028054,0.000787027,0.0032955,1.09E-05,-0.437323994,-0.515122829,-0.874833473,-0.64270633,NA,NA,NA
LR451,I3,F,1,50,L,6,0.0300375,0.000902251,0.002937,8.63E-06,-0.336471572,-0.452195544,-0.920445993,-0.652010028,NA,NA,NA
LR452,I3,M,3,50,S,6,0.03612,0.001304654,0.01435,0.000205923,-0.162271118,-0.312448064,0.446851996,0.117409963,NA,NA,NA
LR453,I3,M,3,50,L,6,0.03612,0.001304654,0.01435,0.000205923,-0.162271118,-0.312448064,0.446851996,0.117409963,NA,NA,NA
LR454,I3,M,1,50,L,6,0.03375,0.001139063,0.0033,1.09E-05,-0.264476102,-0.375275395,-0.943212059,-0.757865326,NA,NA,NA
LR455,I3,M,4,100,L,6,0.05976,0.003571258,0.00702,4.93E-05,0.857191254,0.547530304,-0.475244793,-0.58557567,NA,NA,NA
LR456,I3,M,2,50,L,6,0.05337,0.002848357,0.0117,0.00013689,0.581625917,0.273252476,0.113488218,-0.192398526,NA,NA,NA
LR457,J1,F,4,100,L,6,0.069388,0.004814695,0.008151,6.64E-05,1.664331671,1.684507576,-0.257060557,-0.411278731,NA,NA,NA
LR458,J1,F,3,50,S,6,0.03612,0.001304654,0.01435,0.000205923,-0.027202675,-0.232431185,0.53164798,0.169530275,NA,NA,NA
LR459,J1,M,2,100,S,6,0.1058505,0.011204328,0.023205,0.000538472,2.844819446,3.443614088,1.560790206,1.609833923,NA,NA,NA
LR460,J1,M,3,100,S,6,0.07224,0.005218618,0.0287,0.00082369,1.395384588,1.172559628,2.252048304,2.889844319,NA,NA,NA
