FID,Shelf_stack,Sex,Diet,Level,Size,Batch,P_day,P2_day,L_day,L2_day,ZP,ZP2,ZL,ZL2,Ln,Wt,CI
LR405,H3,M,3,75,L,3,0.04214,0.00177578,0.016741667,0.000280283,0.095731333,-0.135055606,0.747989901,0.451096906,49.5,1.63,0.095167859
LR406,H3,M,3,100,S,3,0.03612,0.001304654,0.01435,0.000205922,-0.163440022,-0.313351164,0.446962006,0.117545636,48,1.45,0.073588469
LR407,H3,F,4,100,S,3,0.020657778,0.000426744,0.002426667,5.89E-06,-0.815986539,-0.714394066,-0.985739112,-0.664377827,44,1.03,0.00144602
LR408,H3,M,1,50,S,3,0.0135,0.00018225,0.00132,1.74E-06,-1.137269929,-0.738120011,-1.193062912,-0.798326467,NA,NA,NA
LR409,I1,F,1,100,L,3,0.027,0.000729,0.00264,6.97E-06,-0.493459604,-0.549175876,-0.958630428,-0.659885726,52,1.46,-0.167787908
LR410,I1,F,2,75,L,3,0.026685,0.000712089,0.00585,3.42E-05,-0.509478593,-0.558419712,-0.550728823,-0.546626556,50,1.38,-0.102499371
LR411,I1,F,1,75,L,3,0.02025,0.000410063,0.00198,3.92E-06,-0.836723654,-0.72351218,-1.042498048,-0.672571751,54,1.34,-0.370604847
LR412,I1,M,5,100,L,3,0.033973333,0.001154187,0.020906667,0.000437089,-0.255857728,-0.370294737,1.272218894,1.154460772,49.5,1.44,-0.028769042
LR413,I1,M,2,100,S,3,0.055346667,0.003063254,0.012133333,0.000147218,0.664301063,0.352183255,0.167960539,-0.145775107,48,1.23,-0.090960918
LR414,I1,F,3,100,L,3,0.03612,0.001304654,0.01435,0.000205922,-0.029671731,-0.234513762,0.529384463,0.167625782,51,1.51,-0.073890276
LR415,I1,M,2,50,S,3,0.027673333,0.000765813,0.006066667,3.68E-05,-0.527083565,-0.517273166,-0.595622225,-0.641062477,37.5,0.61,-0.026644752
LR416,I1,M,3,100,L,3,0.056186667,0.003156942,0.022322222,0.000498282,0.700464508,0.387639065,1.450388155,1.428946092,46.5,1.34,0.093161845
