FID,Family,Stack_shelf,Diet,Level,Size,P_day,P2_day,L_day,L2_day,Days_breeding,Number_clutches,mean_number,Total_egg
LR583,F137,L1,4,100,L,0.060792889,0.003695775,0.007141333,5.10E-05,94,12,116.3333333,1396
LR149,F138,L2,3,100,L,0.077565385,0.006016389,0.030815705,0.000949608,134,12,128.8888889,1160
LR151,F138,L2,4,50,S,0.025082065,0.00062911,0.002946387,8.68E-06,131,8,78,624
LR152,F138,L2,5,100,S,0.02184,0.000476986,0.01344,0.000180634,104,9,123.375,987
LR153,F138,L2,1,50,S,0.017063665,0.000291169,0.001668447,2.78E-06,167,12,78.09090909,859
LR075,F143,L3,3,100,L,0.077230263,0.005964514,0.030682566,0.00094142,111,15,114.6428571,1605
LR076,F143,L3,5,100,L,0.04368,0.001907942,0.02688,0.000722534,133,18,84.82352941,1442
LR079,F143,L3,3,50,L,0.038438514,0.001477519,0.015271115,0.000233207,117,12,127.1111111,1144
LR080,F143,L3,5,75,S,0.018628235,0.000347011,0.011463529,0.000131413,112,12,97.09090909,1068
LR081,F143,L3,2,75,L,0.0578175,0.003342863,0.012675,0.000160656,91,10,130.7777778,1177
LR082,F143,L3,3,75,L,0.057648477,0.003323347,0.02290298,0.000524546,122,13,130.4615385,1696
LR083,F143,L3,5,100,L,0.04368,0.001907942,0.02688,0.000722534,46,3,137,411
